name,whi,bla,his,asi,oth
ABDUH,0,0,0,0,1
ABDUL,0.12513484358144553,0.48220064724919093,0.042071197411003236,0.1715210355987055,0.1790722761596548
ABDULAH,0,1,0,0,0
ABDULAHAD,0.35353535353535354,0.494949494949495,0,0,0.15151515151515152
ABDULAHE,0,1,0,0,0
ABDULAHI,0,0.7370689655172413,0,0.0603448275862069,0.2025862068965517
ABDULAI,0.07751937984496124,0.8837209302325582,0,0,0.03875968992248062
ABDULALEEM,0.05405405405405406,0.8378378378378378,0,0,0.10810810810810811
ABDULALI,0.06432748538011696,0.6023391812865497,0,0.15204678362573099,0.18128654970760233
ABDULALIM,0,1,0,0,0
ABDULALIYY,0,0.9230769230769231,0,0,0.07692307692307693
ABDULALLAH,0.16666666666666666,0.6666666666666666,0.16666666666666666,0,0
ABDULAZEEM,0.08,0.84,0,0.06,0.02
ABDULAZEEZ,0.04597701149425287,0.9540229885057471,0,0,0
ABDULAZIZ,0.08728179551122195,0.683291770573566,0.022443890274314215,0.11471321695760599,0.09226932668329177
ABDULBAQI,0.08695652173913043,0.5434782608695652,0,0,0.3695652173913043
ABDULBARI,0,0.9555555555555556,0,0.044444444444444446,0
ABDULBARR,0,1,0,0,0
ABDULFATTAH,0.7058823529411765,0.13725490196078433,0.0196078431372549,0.13725490196078433,0
ABDULGHAFFAR,0,0.8837209302325582,0,0.11627906976744186,0
ABDULGHANI,0.4915254237288136,0.423728813559322,0.059322033898305086,0,0.025423728813559324
ABDULHADI,0.6478260869565218,0.1391304347826087,0,0,0.21304347826086956
ABDULHAFIZ,0.18421052631578946,0.6973684210526315,0,0,0.11842105263157894
ABDULHAI,0.08,0.64,0,0,0.28
ABDULHAKEEM,0,0.9758064516129032,0,0.024193548387096774,0
ABDULHAKIM,0,0.9146341463414634,0,0,0.08536585365853659
ABDULHALEEM,0.0196078431372549,0.9803921568627451,0,0,0
ABDULHALIM,0.2894736842105263,0.4298245614035088,0,0.07894736842105263,0.20175438596491227
ABDULHAMEED,0.27848101265822783,0.4177215189873418,0,0.2911392405063291,0.012658227848101266
ABDULHAMID,0.15384615384615385,0.7051282051282052,0,0.01282051282051282,0.1282051282051282
ABDULHAQQ,0.013114754098360656,0.9442622950819672,0,0.03278688524590164,0.009836065573770493
ABDULHUSSEIN,0.18461538461538463,0,0,0.38461538461538464,0.4307692307692308
ABDULJABBAAR,0,1,0,0,0
ABDULJABBAR,0.15476190476190477,0.5436507936507936,0,0.04365079365079365,0.25793650793650796
ABDULJABER,0.3918918918918919,0,0.1891891891891892,0.0945945945945946,0.32432432432432434
ABDULJALIL,0.11320754716981132,0.7547169811320755,0,0.12264150943396226,0.009433962264150943
ABDULJAWAD,0.7721518987341772,0,0,0,0.22784810126582278
ABDULKABIR,0.017543859649122806,0.6491228070175439,0,0,0.3333333333333333
ABDULKADER,0.7894736842105263,0.10526315789473684,0,0,0.10526315789473684
ABDULKADIR,0.004545454545454545,0.8545454545454545,0,0.03636363636363636,0.10454545454545454
